ticker,name,debut,months_in_top,peak_month,peak_net_M,px_at_debut,ret_3M,ret_6M,ret_1Y,ret_to_now
AAPL.US,APPLE INC,2023-01,8,2025-05,153,141.88,17.776039243878717,36.545862054383214,28.51249629974202,110.90765565751823
ACWI.US,ISHARES MSCI ACWI ETF,2023-01,2,2024-06,70,85.97,1.4684858333692041,10.032675670991242,14.051585450543879,83.02563452337608
HYG.US,ISHARES IBOXX USD HIGH,2023-01,1,2023-01,47,62.33,0.2637438796660563,1.9159934031944603,7.718198327696957,28.390648963955
TSM.US,TAIWAN SEMICONDUCTOR M,2023-01,4,2024-03,137,88.5,-8.638513036354901,7.912996807999773,24.180559871190077,381.15024999293803
EMLC.US,VANECK JP MORGAN EM LO,2023-01,1,2023-01,40,20.47,1.4095306936785956,5.542884214330712,5.004664247444435,26.056781718103615
JEPI.US,JP MORGAN EQUITY PREMI,2023-01,4,2023-02,64,42.14,2.2887194420119217,5.364156527145925,9.808221258700778,34.20477441494549
LQD.US,ISHARES IBOXX USD INVE,2023-01,4,2025-03,106,95.49,0.12042628811621547,-0.8010966122514396,3.5761371644949635,14.26883964559067
TSLA.US,TESLA INC,2023-01,17,2025-03,1013,173.22,-5.143747835122959,54.38748412423509,8.122618635261514,133.61043759381138
MSFT.US,MICROSOFT CORP,2023-02,9,2026-02,514,243.12,31.949303090242687,31.9749690794753,67.20186835239568,61.98776505583792
SCHD.US,SCHWAB US DIVIDEND EQU,2023-02,19,2025-04,222,22.04,-5.876721341228253,1.735520315796646,8.03239637922819,47.59862973297943
AMZN.US,AMAZON.COM INC,2023-02,2,2026-02,177,94.23,27.963493579539424,46.46078743499946,87.58357211079273,161.06335561922953
BOIL.US,PROSHARES ULTRA BLOOMB,2023-02,1,2023-02,29,1334.0,-61.6191904047976,-53.058470764617695,-87.2488755622189,-97.87631184407796
GOOGL.US,ALPHABET INC CL A,2023-02,11,2025-11,1006,89.27,36.43136877103208,51.199304569142036,53.74197364352895,318.1210820402293
FRCB.US,FIRST REPUBLIC BANK,2023-03,1,2023-03,102,13.99,-96.06862044317369,-99.48534667619728,-99.72837741243745,-99.99571122230164
TLT.US,ISHARES 20+ YEAR TREAS,2023-03,10,2025-05,134,93.24,-2.4759361443134176,-15.263053468680788,-7.834065303539739,-7.562619648976055
RIVN.US,RIVIAN AUTOMOTIVE INC,2023-03,1,2023-03,32,15.48,7.622739018087854,56.84754521963824,-29.263565891472876,2.9069767441860517
VOO.US,VANGUARD SP 500 ETF SP,2023-03,18,2024-12,323,361.22,8.72470104124794,5.232317997543889,29.761358993013687,90.9499020542583
TSLL.US,DIREXION DAILY TSLA BU,2023-04,18,2025-02,704,7.73,99.64152603789213,24.541878041205088,-1.6124857645719026,74.0604617455223
SOXL.US,DIREXION DAILY SEMICON,2023-04,13,2026-03,1373,13.95,99.95625766387242,5.0439933167447215,169.99275741647725,1521.9801653603724
AGG.US,ISHARES CORE US AGGREG,2023-04,1,2023-04,20,88.9,-1.5235997673824775,-6.176175151544472,-1.4869298874144676,11.325706148279036
TOP.US,ZHONG YANG FINANCIAL G,2023-05,1,2023-05,31,9.21,-38.65363735070576,-52.33441910966341,-72.9641693811075,-86.31921824104235
O.US,REALTY INCOME CORP,2023-05,6,2023-08,57,50.3,-4.4909935610074285,-6.598625526560098,-5.970232332529535,23.591284001518797
INTC.US,INTEL CORP,2023-05,6,2026-05,497,30.81,12.170582889783187,43.15623782941709,-0.507918992600287,279.8844605997663
JEPQ.US,J.P. MORGAN NASDAQ EQU,2023-05,5,2026-02,129,34.16,6.090028803596947,9.644521462192369,26.31226143362293,77.91490059246425
