month,side,rank,ticker,net_M
2021-01,매수,1,TSLA,939
2021-01,매수,2,AAPL,533
2021-01,매수,3,TSM,245
2021-01,매수,4,BIDU,199
2021-01,매수,5,ARKK,165
2021-01,매수,6,?CHURCHILL CAPI,124
2021-01,매수,7,?ARCLIGHT CLEAN,107
2021-01,매수,8,EH,92
2021-01,매수,9,LIT,87
2021-01,매수,10,ICLN,87
2021-01,매도,1,AMZN,-243
2021-01,매도,2,MSFT,-61
2021-01,매도,3,GME,-47
2021-01,매도,4,GOOGL,-38
2021-01,매도,5,MRNA,-33
2021-01,매도,6,XPEV,-25
2021-01,매도,7,NVDA,-24
2021-01,매도,8,TQQQ,-10
2021-01,매도,9,NIO,-2
2021-01,매도,10,FEY2,2
2021-02,매수,1,TSLA,304
2021-02,매수,2,PLTR,256
2021-02,매수,3,U,230
2021-02,매수,4,AAPL,155
2021-02,매수,5,ARKK,143
2021-02,매수,6,SOXL,114
2021-02,매수,7,?CHURCHILL CAPI,114
2021-02,매수,8,OPEN,99
2021-02,매수,9,IRDM,79
2021-02,매수,10,TSM,77
2021-02,매도,1,GME,-168
2021-02,매도,2,EH,-155
2021-02,매도,3,AMZN,-126
2021-02,매도,4,NVDA,-85
2021-02,매도,5,NIO,-44
2021-02,매도,6,GEVO,-18
2021-02,매도,7,BNGO,-9
2021-02,매도,8,QS,-5
2021-02,매도,9,?NAKED BRAND GR,1
2021-02,매도,10,BB,1
2021-03,매수,1,TSLA,232
2021-03,매수,2,FNGU,225
2021-03,매수,3,YOJ,205
2021-03,매수,4,AAPL,181
2021-03,매수,5,SOXL,180
2021-03,매수,6,PLTR,150
2021-03,매수,7,CPNG,92
2021-03,매수,8,U,90
2021-03,매수,9,TQQQ,73
2021-03,매수,10,TBT,73
2021-03,매도,1,BIDU,-45
2021-03,매도,2,XOM,-29
2021-03,매도,3,ARKK,-24
2021-03,매도,4,NIO,-17
2021-03,매도,5,BA,-10
2021-03,매도,6,?AMC ENTERTAINM,-5
2021-03,매도,7,NNDM,-5
2021-03,매도,8,?PROSHARES TRUS,-1
2021-03,매도,9,RIOT,-1
2021-03,매도,10,OPEN,0
2021-04,매수,1,TSLA,146
2021-04,매수,2,SPY,116
2021-04,매수,3,COIN,89
2021-04,매수,4,TSM,84
2021-04,매수,5,SOXX,70
2021-04,매수,6,GOOGL,57
2021-04,매수,7,QQQ,51
2021-04,매수,8,VOO,47
2021-04,매수,9,MSFT,46
2021-04,매수,10,PLTR,42
2021-04,매도,1,NVDA,-60
2021-04,매도,2,TQQQ,-51
2021-04,매도,3,FNGU,-31
2021-04,매도,4,SOXL,-27
2021-04,매도,5,ARKK,-25
2021-04,매도,6,AMZN,-19
2021-04,매도,7,BIDU,-16
2021-04,매도,8,RIOT,-9
2021-04,매도,9,MARA,-1
2021-04,매도,10,MVIS,2
2021-05,매수,1,AMZN,81
2021-05,매수,2,TSLA,81
2021-05,매수,3,TQQQ,50
2021-05,매수,4,SPY,44
2021-05,매수,5,ABNB,38
2021-05,매수,6,BA,31
2021-05,매수,7,NNOX,30
2021-05,매수,8,DIS,29
2021-05,매수,9,COIN,25
2021-05,매수,10,GOOGL,25
2021-05,매도,1,AAPL,-40
2021-05,매도,2,FNGU,-30
2021-05,매도,3,TDOC,-23
2021-05,매도,4,T,-22
2021-05,매도,5,TSM,-13
2021-05,매도,6,MRNA,-11
2021-05,매도,7,RBLX,-11
2021-05,매도,8,NVDA,-10
2021-05,매도,9,XOM,-7
2021-05,매도,10,?BMO MICROSECTO,-6
2021-06,매수,1,RBLX,82
2021-06,매수,2,ABNB,78
2021-06,매수,3,SPY,53
2021-06,매수,4,GOOGL,50
2021-06,매수,5,META,46
2021-06,매수,6,?AMC ENTERTAINM,45
2021-06,매수,7,QQQ,33
2021-06,매수,8,AMZN,32
2021-06,매수,9,GME,29
2021-06,매수,10,BABA,23
2021-06,매도,1,SOXL,-151
2021-06,매도,2,FNGU,-114
2021-06,매도,3,PLTR,-70
2021-06,매도,4,NVDA,-70
2021-06,매도,5,TQQQ,-66
2021-06,매도,6,MRNA,-26
2021-06,매도,7,?GLOBAL X CHINA,-21
2021-06,매도,8,SHV,-20
2021-06,매도,9,SOFI,-19
2021-06,매도,10,0QL0,-19
2021-07,매수,1,?HANG SENG CHIN,117
2021-07,매수,2,GOOGL,102
2021-07,매수,3,AMZN,98
2021-07,매수,4,MSFT,96
2021-07,매수,5,META,90
2021-07,매수,6,RBLX,76
2021-07,매수,7,QQQ,61
2021-07,매수,8,LIT,57
2021-07,매수,9,CVC1,52
2021-07,매수,10,?BMO MICROSECTO,50
2021-07,매도,1,AAPL,-190
2021-07,매도,2,SOXL,-45
2021-07,매도,3,FNGU,-43
2021-07,매도,4,0QL0,-29
2021-07,매도,5,TSLA,-27
2021-07,매도,6,TSM,-24
2021-07,매도,7,?GLOBAL X CHINA,-20
2021-07,매도,8,NIO,-12
2021-07,매도,9,SOXX,-8
2021-07,매도,10,AMD,-7
2021-08,매수,1,AMZN,187
2021-08,매수,2,GOOGL,129
2021-08,매수,3,LQD,62
2021-08,매수,4,MRNA,60
2021-08,매수,5,SOFI,45
2021-08,매수,6,QQQ,40
2021-08,매수,7,PFE,40
2021-08,매수,8,SPY,39
2021-08,매수,9,TQQQ,38
2021-08,매수,10,MSFT,37
2021-08,매도,1,TSLA,-99
2021-08,매도,2,AAPL,-96
2021-08,매도,3,SOXL,-86
2021-08,매도,4,U,-71
2021-08,매도,5,PLTR,-48
2021-08,매도,6,RBLX,-42
2021-08,매도,7,?GLOBAL X CHINA,-22
2021-08,매도,8,TSM,-20
2021-08,매도,9,LABU,-8
