RNUM,NATION_NM,ISIN,KOR_SECN_NM,SUM_FRSEC_BUY_AMT,SUM_FRSEC_SELL_AMT,SUM_FRSEC_TOT_AMT,SUM_FRSEC_NET_BUY_AMT,month
1,미국,US88160R1014,TESLA INC,1305283072,1023676591,2328959663,281606480,2023-01
2,미국,US25460G3368,DIREXION DAILY SEMICONDUCTOR BEAR 3X ETF,1096989466,945050833,2042040299,151938633,2023-01
3,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,946435805,1084589541,2031025345,-138153736,2023-01
4,미국,US74347G4322,PROSHARES ULTRAPRO SHORT QQQ ETF,846228961,750251614,1596480575,95977347,2023-01
5,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,772223549,883111405,1655334954,-110887856,2023-01
6,미국,US0378331005,APPLE INC,247860015,161116316,408976330,86743699,2023-01
7,미국,US25460G2865,DIREXION DAILY TSLA BULL 2X SHARES,178194199,173455166,351649364,4739033,2023-01
8,미국,US74347Y8701,PROSHARES ULTRA BLOOMBERG NATURAL GAS ETF SPLR 007184947 US74347Y7067,140048646,106385180,246433826,33663466,2023-01
9,미국,US67066G1040,NVIDIA CORP,138194688,135231721,273426409,2962968,2023-01
10,미국,US25459W5408,DIREXION DAILY 20+ YEAR TREASURY BULL 3X SHS ETF,99018217,89644138,188662355,9374078,2023-01
11,미국,US8740391003,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ADR,94954071,34016893,128970964,60937178,2023-01
12,미국,US46144X8671,AXS TSLA BEAR DAILY ETF,88595721,81236479,169832200,7359242,2023-01
13,미국,US5949181045,MICROSOFT CORP,86661362,63406727,150068090,23254635,2023-01
14,미국,US0231351067,AMAZON.COM INC,79840561,75476617,155317178,4363944,2023-01
15,미국,US4642872422,ISHARES IBOXX USD INVESTMENT GRADE CORPORATE BOND ETF,77830286,1373120,79203406,76457167,2023-01
16,미국,US0758961009,BED BATH & BEYOND INC,77277292,66752759,144030051,10524533,2023-01
17,미국,US02079K3059,ALPHABET INC CL A,73059465,110548224,183607689,-37488760,2023-01
18,미국,US4642886794,ISHARES SHORT TREASURY BOND ETF,70210017,67340546,137550563,2869472,2023-01
19,미국,US4642874329,ISHARES 20+ YEAR TREASURY BOND ETF,56024357,49397845,105422202,6626513,2023-01
20,미국,US46641Q3323,JP MORGAN EQUITY PREMIUM INCOME ETF,54822705,15721229,70543934,39101476,2023-01
21,미국,US25490K3234,DIREXION DAILY SP BIOTECH BULL 3X SHS ETF,53543438,62574256,116117694,-9030818,2023-01
22,미국,US92189H3003,VANECK JP MORGAN EM LOCAL CURRENCY BOND ETF,50945698,11186588,62132286,39759110,2023-01
23,미국,US74347Y8131,PROETF ULTRASHORT BLOOMBERG NATURAL GAS,49188864,60983748,110172612,-11794884,2023-01
24,미국,US00180N1019,AMTD DIGITAL INC SPON ADS EACH REP 0.4 ORD SHS,48741981,37448195,86190176,11293787,2023-01
25,미국,US4642885135,ISHARES IBOXX USD HIGH YIELD CORPORATE BOND ETF,48422900,1214214,49637114,47208686,2023-01
26,미국,US4642882579,ISHARES MSCI ACWI ETF,47710710,3333572,51044282,44377138,2023-01
27,미국,US76954A1034,RIVIAN AUTOMOTIVE INC,45029973,32813331,77843305,12216642,2023-01
28,미국,US0636795348,MicroSectors FANG+ Index 3X Leveraged ETN,44176392,53726281,97902673,-9549888,2023-01
29,미국,US25460E5217,DIREXION DAILY FTSE CHINA BEAR 3X SHS ETF SPLR 005718961 US25490K8365,43338074,36474385,79812459,6863689,2023-01
30,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,42380000,38726722,81106722,3653278,2023-01
31,미국,US46641Q8371,JP MORGAN ULTRA SHORT INCOME ETF,40248588,1147839,41396426,39100749,2023-01
