key,month,disp,net_M,appearances
HYG,2023-01,HYG,47.208686,1
ACWI,2023-01,ACWI,44.377138,2
EMLC,2023-01,EMLC,39.75911,1
US0758961009,2023-02,?BED BATH & BEYON,31.418047,2
FRCB,2023-03,FRCB,101.525707,1
US0636798235,2023-03,?BMO MICROSECTORS,57.5045,1
AGG,2023-04,AGG,20.318496,1
TLTW,2023-05,TLTW,39.859143,3
TOP,2023-05,TOP,31.31136,1
JEPQ,2023-05,JEPQ,28.812816,5
TLT(JPYh),2023-06,TLT(JPYh),39.427679,13
MU,2023-06,MU,36.05182,5
JOBY,2023-07,JOBY,30.565397,1
TSLY,2023-08,TSLY,52.087452,3
QQQM,2023-09,QQQM,60.216901,9
KO,2023-10,KO,31.11182,1
YINN,2023-12,YINN,41.279105,2
MSS,2023-12,MSS,37.331586,1
KYG2952X1209,2023-12,?E-HOME HOUSEHOLD,23.914573,1
TSLT,2024-01,TSLT,82.94914,3
NVDL,2024-02,NVDL,68.880325,8
LLY,2024-02,LLY,68.51272,4
US86800U1043,2024-02,?SUPER MICRO COMP,62.067917,1
MSTR,2024-03,MSTR,208.045171,2
BITX,2024-03,BITX,130.595188,2
US74349Y7040,2024-04,?PROSHARES ULTRA ,50.84981,2
SBUX,2024-05,SBUX,85.13609,1
COPX,2024-05,COPX,70.038914,1
AVGO,2024-06,AVGO,228.633546,5
QCOM,2024-06,QCOM,62.265809,1
ARM,2024-06,ARM,61.842036,1
NKE,2024-07,NKE,99.645099,1
SGOV,2024-08,SGOV,55.524853,8
CONL,2024-09,CONL,34.721785,1
DJT,2024-09,DJT,17.693578,2
OXY,2024-09,OXY,16.852621,1
MSTU,2024-10,MSTU,68.122162,2
ETHU,2024-11,ETHU,140.9273,7
MSTX,2024-11,MSTX,90.628723,1
ORCL,2025-01,ORCL,78.244284,4
TEM,2025-02,TEM,176.262607,1
RXRX,2025-02,RXRX,86.494469,1
CONY,2025-02,CONY,78.322676,1
UNH,2025-05,UNH,347.985448,3
MSTY,2025-05,MSTY,103.543672,3
CRCL,2025-06,CRCL,603.979584,2
BMNR,2025-07,BMNR,241.65153,5
ULTY,2025-07,ULTY,155.279797,2
HOOD,2025-07,HOOD,105.728593,1
SBET,2025-07,SBET,102.69252,1
FIG,2025-08,FIG,175.222737,1
SMR,2025-08,SMR,148.874404,2
IREN,2025-09,IREN,260.841033,2
SNPS,2025-09,SNPS,124.22901,1
BMNR·2xL,2025-10,BMNR·2xL,334.562462,2
US25461A8099,2025-11,?DIREXION DAILY M,253.950773,1
SLV,2026-01,SLV,218.229604,1
SNDK,2026-02,SNDK,477.850134,2
KORU,2026-03,KORU,212.79318,1
AAOI,2026-03,AAOI,79.734096,1
GDXU,2026-03,GDXU,68.096032,1
DRAM,2026-04,DRAM,218.676289,2
MRVL,2026-04,MRVL,137.648125,2
SPACE,2026-05,SPACE,267.076005,1
NBIS,2026-05,NBIS,183.301398,1
