q,side,rank,ticker,net_M,buy_M,sell_M
2021Q1,매수,1,TSLA,1476,6674,5198
2021Q1,매수,2,AAPL,868,2366,1498
2021Q1,매수,3,PLTR,426,1301,875
2021Q1,매수,4,TSM,379,738,359
2021Q1,매수,5,SOXL,340,1245,904
2021Q1,매수,6,U,320,561,241
2021Q1,매수,7,ARKK,285,715,431
2021Q1,매수,8,?CHURCHILL CAPI,263,1417,1154
2021Q1,매수,9,FNGU,259,698,439
2021Q1,매수,10,?ARCLIGHT CLEAN,214,496,282
2021Q1,매도,1,AMZN,-359,611,970
2021Q1,매도,2,GME,-212,2495,2707
2021Q1,매도,3,NIO,-63,498,560
2021Q1,매도,4,NVDA,-60,635,695
2021Q1,매도,5,MSFT,-60,203,264
2021Q1,매도,6,EH,-49,702,751
2021Q1,매도,7,MRNA,-33,80,113
2021Q1,매도,8,XPEV,-25,142,167
2021Q1,매도,9,?SECOND SIGHT M,1,140,140
2021Q1,매도,10,?NAKED BRAND GR,1,106,106
2021Q2,매수,1,TSLA,239,3071,2831
2021Q2,매수,2,SPY,214,347,133
2021Q2,매수,3,GOOGL,132,376,243
2021Q2,매수,4,ABNB,116,239,123
2021Q2,매수,5,COIN,114,272,158
2021Q2,매수,6,RBLX,112,415,303
2021Q2,매수,7,AMZN,94,647,552
2021Q2,매수,8,QQQ,91,325,234
2021Q2,매수,9,MSFT,88,309,221
2021Q2,매수,10,BA,84,311,227
2021Q2,매도,1,FNGU,-176,788,963
2021Q2,매도,2,SOXL,-153,1310,1463
2021Q2,매도,3,NVDA,-141,482,623
2021Q2,매도,4,TQQQ,-67,568,635
2021Q2,매도,5,MRNA,-37,95,132
2021Q2,매도,6,PLTR,-27,440,467
2021Q2,매도,7,ARKK,-25,58,83
2021Q2,매도,8,AAPL,-24,983,1008
2021Q2,매도,9,TDOC,-23,42,66
2021Q2,매도,10,?GLOBAL X CHINA,-21,77,98
2021Q3,매수,1,GOOGL,343,819,476
2021Q3,매수,2,TQQQ,301,1070,769
2021Q3,매수,3,MSFT,244,661,417
2021Q3,매수,4,AMZN,220,1143,923
2021Q3,매수,5,?HANG SENG CHIN,218,222,4
2021Q3,매수,6,QQQ,197,522,325
2021Q3,매수,7,SPY,184,391,207
2021Q3,매수,8,META,163,442,278
2021Q3,매수,9,ASML,116,328,212
2021Q3,매수,10,QLD,84,212,128
2021Q3,매도,1,TSLA,-400,2177,2577
2021Q3,매도,2,AAPL,-208,1096,1304
2021Q3,매도,3,SOXL,-178,676,854
2021Q3,매도,4,U,-126,148,274
2021Q3,매도,5,PLTR,-104,278,382
2021Q3,매도,6,FNGU,-91,414,505
2021Q3,매도,7,TSM,-44,133,177
2021Q3,매도,8,?GLOBAL X CHINA,-32,537,569
2021Q3,매도,9,0QL0,-26,331,357
