month,AAOI.US,AAPL.US,ACWI.US,AGG.US,AMC.US,AMD.US,AMZN.US,APP.US,ARM.US,ASML.US,ASTS.US,AVGO.US,BA.US,BABA.US,BABAF.US,BE.US,BITX.US,BMNR.US,BOIL.US,BYDDF.US,BYND.US,CBRS.US,COHR.US,COIN.US,CONL.US,CONY.US,COPX.US,CPNG.US,CRCL.US,CRDO.US,CRWV.US,DELL.US,DJT.US,DRAM.US,DXYZ.US,EMLC.US,FIG.US,FRCB.US,FUBO.US,GDXU.US,GEV.US,GLW.US,GME.US,GOOG.US,GOOGL.US,HIMS.US,HOOD.US,HYG.US,INOD.US,INTC.US,IONQ.US,IREN.US,IVV.US,JEPI.US,JEPQ.US,JOBY.US,KI5.F,KO.US,LAES.US,LITE.US,LLY.US,LQD.US,LUNR.US,MARA.US,META.US,MNDR.US,MOD.US,MP.US,MRVL.US,MSFT.US,MSS.US,MSTR.US,MSTU.US,MU.US,NBIS.US,NKE.US,NNOX.US,NVAX.US,NVDA.US,NVDL.US,NVO.US,O.US,OKLO.US,OPEN.US,ORCL.US,OXY.US,PFE.US,PL.US,PLTR.US,PLUG.US,QBTS.US,QCOM.US,QLD.US,QQQ.US,QQQM.US,QUBT.US,RDW.US,RGTI.US,RIVN.US,RKLB.US,RXRX.US,RZLV.US,SBET.US,SBUX.US,SCHD.US,SERV.US,SES.US,SGOV.US,SLV.US,SMCI.US,SMR.US,SNDK.US,SNPS.US,SOUN.US,SOXL.US,SOXX.US,SPY.US,SQQQ.US,TEM.US,TLT.US,TLTW.US,TMF.US,TOP.US,TQQQ.US,TSLA.US,TSLL.US,TSLT.US,TSLY.US,TSM.US,U.US,ULTY.US,UNH.US,VKTX.US,VOO.US,VRT.US,VST.US,XIACF.US,YINN.US,ZETA.US
2023-01,2.39,141.882,85.9661,88.4766,53.5,75.15,103.13,12.7,,640.745,5.385,55.8158,213.0,103.7766,12.9111,24.93,,0.9997,1518.0,9.4029,16.43,,43.4,58.48,9.1674,,38.5203,16.89,,17.33,,38.1776,15.31,,,20.4749,,140.88,30.84,55.44,,31.7368,21.87,98.9972,97.9713,8.28,10.41,62.3332,4.4,27.2505,4.44,2.14,389.346,42.1371,30.078,4.42,,55.2902,,60.18,334.9356,95.4941,10.119,7.21,147.6732,,23.89,32.51,42.6553,240.9505,,25.173,,59.4107,,118.85,9.22,10.91,19.4937,4.2713,63.6138,56.4661,10.02,2.19,85.0129,61.0757,36.249,4.95,7.78,17.02,1.25,123.1949,21.05,289.0371,118.7235,1.76,2.56,0.781,19.4,4.97,8.33,10.02,64.8,100.2477,22.7963,,3.3,86.0202,21.83,7.233,10.66,,353.75,1.99,14.208,131.3932,389.6644,795.9081,,93.4714,21.4434,83.878,4.72,10.9979,173.22,8.7446,,16.0596,88.5025,35.52,,466.2834,8.76,357.223,14.1686,22.0494,1.66,59.4113,9.08
2023-02,2.81,145.1712,83.1116,86.1184,71.4,78.58,94.23,13.5,,600.246,6.44,56.7012,201.55,82.6728,10.4614,21.69,,0.8498,1334.0,7.9798,17.84,,43.13,64.83,10.0352,,35.3297,15.51,,10.61,,38.1964,14.79,,,19.8889,,123.01,22.92,34.28,,31.3878,19.23,89.5108,89.2684,11.27,10.07,61.1585,6.76,24.3324,4.74,2.77,379.4863,41.1905,29.8542,4.7,,53.6582,,53.81,303.8672,91.513,20.1,7.1,173.4171,,24.41,35.0,44.6324,243.1233,,26.227,,56.9672,,110.8787,7.29,9.26,23.1645,5.4401,64.6268,53.4462,10.11,1.44,83.9942,55.2029,33.3021,4.61,7.84,14.87,0.695,114.2427,20.6832,287.9972,118.3023,1.44,3.88,0.75,19.3,4.5,8.15,10.1,49.2,94.242,22.0395,,3.23,86.3327,19.22,9.797,10.35,,363.76,2.99,14.3352,133.3949,379.8672,791.2572,,88.9375,20.5389,71.0983,4.34,10.6234,205.71,11.1688,,19.2238,83.1005,30.44,,444.5661,11.01,348.2982,16.1913,21.0263,1.54,39.1307,10.61
2023-03,2.21,162.3956,85.8813,88.3928,50.1,98.01,103.29,15.75,,661.4434,5.08,61.6499,212.43,96.224,11.8986,19.93,,1.0097,722.0,8.7111,16.23,,38.08,67.57,10.1649,,36.1134,16.0,,9.42,,37.7923,14.05,,,20.6492,,13.99,14.52,52.52,,32.6174,23.02,103.0911,102.8183,9.92,9.71,62.3718,8.54,31.8868,6.15,3.06,393.6276,42.1328,31.9312,4.34,,56.3594,,54.01,335.3065,95.0346,10.8,8.72,210.095,,23.05,28.19,42.8036,281.0218,,29.232,,59.4501,,114.7987,5.77,6.93,27.7201,7.046,73.5309,53.1361,10.15,1.76,89.2991,59.022,33.4909,3.93,8.45,11.72,0.664,118.709,24.569,315.3362,129.5532,1.31,3.03,0.723,15.48,4.04,6.67,10.08,45.6,96.1251,21.8085,,2.95,86.7017,22.12,10.655,9.09,,386.25,2.76,17.9338,145.0996,393.952,597.4181,,93.2415,21.6091,80.2306,5.6,13.6452,207.46,11.1171,,19.79,89.2211,32.44,,443.0092,16.65,361.2204,14.2583,23.1307,1.546,44.6254,10.83
2023-04,1.94,167.103,87.2285,88.9013,55.0,89.37,105.45,17.0,,618.8345,5.31,60.2046,206.78,79.7535,9.4685,16.65,,0.9497,676.0,8.9748,13.54,,34.14,53.79,7.0925,,36.841,16.76,,8.11,,41.2289,13.08,,,20.7635,,3.51,13.68,55.61,,30.7129,19.29,107.2742,106.3966,11.59,8.85,62.4976,6.62,30.3154,5.51,4.0,399.9282,43.1015,32.7424,4.33,,58.2856,,48.25,386.5075,95.6091,7.75,10.07,238.228,,20.91,21.67,39.0853,299.5031,,32.838,,63.5389,,118.6179,6.11,7.67,27.6922,6.9771,77.2042,52.9501,10.28,1.38,91.419,58.1711,31.9231,4.08,7.75,9.03,0.497,108.6785,24.6533,316.9378,130.2107,1.15,3.23,0.47,12.82,3.92,4.77,10.19,31.44,105.5041,21.6326,,1.63,86.9972,23.0,10.543,8.87,,371.32,2.66,13.9453,134.4848,400.2454,589.2789,,93.557,21.8289,79.9595,108.21,13.6404,164.31,7.7272,,16.1909,80.8572,26.97,,461.2886,21.31,366.9643,14.8661,22.9957,1.4,38.3134,9.71
2023-05,2.22,174.7994,86.3147,87.8843,45.0,118.21,120.58,25.01,,704.5238,5.42,77.6423,205.7,74.9131,8.9029,13.72,,1.0997,512.0,8.9482,10.15,,36.96,62.2,8.5489,,32.2791,15.6,,13.42,,42.4803,12.88,,,20.6479,,0.2664,18.6,41.94,,28.743,24.05,122.2918,121.7901,8.94,8.92,61.7278,10.13,30.812,10.79,3.57,401.6231,42.3524,34.1624,5.62,,54.206,12.0,52.9,420.4044,93.9174,6.86,9.79,262.4156,,27.29,20.72,57.9053,320.7995,,30.163,,67.3299,,98.53,17.79,8.05,37.7565,10.8578,74.1408,50.3029,10.695,2.64,102.248,54.5124,31.5466,4.59,14.71,8.32,1.26,106.257,28.4103,341.9246,140.427,1.17,2.44,0.939,14.73,4.58,8.77,10.25,37.68,90.5829,20.7443,,1.51,87.3638,21.61,22.395,7.5,,454.96,3.05,20.7268,155.5513,402.093,469.2255,,90.7359,21.6217,71.557,9.21,16.7789,203.93,10.5521,,19.3445,94.5636,29.72,,456.7422,21.96,368.7316,19.2302,23.1017,1.316,28.62,9.02
2023-06,5.96,191.2883,91.3074,87.5604,44.0,113.91,130.36,25.73,,706.2975,4.7,83.8012,211.16,78.4916,9.5375,16.35,11.2648,1.0297,689.9,9.6694,12.98,,50.98,71.55,10.2148,,35.6041,17.4,,17.34,,51.2968,12.56,,,21.2201,,0.55,24.96,36.91,,32.6893,24.25,119.9128,118.6479,9.4,9.98,62.8268,11.33,32.772,13.53,4.66,428.1202,43.6749,35.2428,10.26,,55.1315,14.92,56.73,459.0911,94.678,8.19,13.86,284.4818,,33.02,22.88,59.1824,332.6686,,34.242,,62.3049,,103.6533,15.49,7.43,42.2198,12.6103,74.7738,50.8147,10.43,4.02,114.9397,55.7573,30.4348,3.22,15.33,10.39,2.09,111.532,31.9095,363.4803,149.3662,1.18,2.55,1.175,16.66,6.0,7.47,10.45,35.76,91.9002,21.8474,,2.44,87.7755,20.89,24.925,6.8,,435.41,4.55,24.3707,165.7472,428.1489,390.0833,,90.9329,21.9156,70.8954,9.39,19.8593,261.77,15.1517,,22.5958,97.2106,43.42,,452.3808,16.21,392.7358,24.6805,25.5076,1.37,32.3885,8.54
2023-07,6.75,193.734,94.5908,87.5468,49.7,114.4,133.68,31.4,,698.1698,4.29,86.8174,238.85,96.2052,11.7586,17.86,10.0107,0.6998,623.2,10.7843,17.2,,47.36,98.61,15.9905,,39.4813,18.15,,16.97,,50.5176,16.87,,,21.6098,,0.32,40.44,40.26,,31.6631,22.2,131.9467,131.5535,8.97,12.86,63.5275,12.83,35.0555,19.25,6.66,442.0191,44.3974,36.2903,8.95,,56.697,11.13,52.36,444.9654,94.7291,8.45,17.37,315.8266,,37.56,23.85,64.5437,328.1554,,43.788,,70.6119,,103.6721,12.4,9.28,46.6381,14.511,74.4365,52.0338,10.33,5.11,113.5416,59.8632,30.2537,3.72,19.84,13.12,2.1,123.8338,34.2142,377.511,155.2139,1.42,3.64,2.49,27.64,7.37,14.12,10.57,34.32,94.2288,22.762,,3.14,88.1317,22.69,33.027,7.58,,451.8,2.33,27.8845,174.9092,442.1636,348.8265,,88.6194,21.5961,64.7148,7.12,21.9469,267.43,15.4267,,23.8576,95.5057,45.84,,476.598,14.5,405.6573,25.916,27.2664,1.471,43.8369,9.22
2023-08,13.77,185.5228,91.8404,86.9937,12.55,105.72,138.01,43.22,,645.1471,3.92,89.1592,224.03,87.485,10.8254,14.99,7.6526,0.6998,626.2,9.5122,11.8,,37.63,79.6,11.3021,19.48,35.8026,18.98,,16.46,,53.6869,16.42,,,21.0774,,0.13,28.08,32.01,,30.881,18.55,136.1496,134.9732,6.71,10.89,63.644,13.0,34.562,17.19,4.86,434.8247,44.3977,36.2429,7.45,,54.7745,5.73,54.13,543.6771,93.5653,4.76,12.57,293.3143,,47.59,20.94,57.7256,320.8619,,35.753,,69.1777,,95.5203,8.325,8.0,49.259,15.5062,86.1784,48.0438,10.36,3.9,116.6022,59.5408,29.6832,3.25,14.98,8.46,1.16,108.0662,32.8512,371.9125,152.7569,1.18,3.22,1.8,22.73,6.31,8.7,10.53,28.32,90.8794,22.422,,2.11,88.5641,22.39,27.508,5.97,,458.89,2.52,23.4187,166.8613,434.9776,365.3292,,85.8349,20.7664,57.6252,5.65,20.5568,258.08,14.4227,,21.5307,90.1308,37.07,,448.5595,13.81,399.0519,39.2476,30.5313,1.57,30.9799,8.13
2023-09,10.97,169.071,87.9098,84.7413,7.99,102.82,127.12,39.96,53.52,574.9509,3.8,80.6782,191.68,81.684,10.2654,13.26,7.9905,0.7538,543.8,9.3339,9.62,,32.64,75.08,10.1948,19.1771,34.4314,17.0,,15.25,,65.7722,16.42,,,20.1322,,0.072,32.04,23.65,,28.6698,16.46,130.6977,129.7098,6.29,9.81,62.6168,8.53,34.9652,14.88,3.71,414.3706,43.0382,35.034,6.45,,51.6564,2.01,45.18,526.9312,90.2372,3.65,8.5,297.5966,,45.75,19.1,53.6427,309.1047,,32.828,,67.2885,,90.1021,6.56,7.24,43.418,12.6986,84.4421,43.0363,10.35,2.64,102.5875,61.692,27.829,2.6,16.0,7.6,0.965,104.7921,29.4982,353.0194,145.108,1.08,2.89,1.33,24.28,4.38,7.65,10.7,19.2,85.1248,21.4793,,2.27,88.9445,20.34,27.422,4.9,,458.97,2.01,18.5517,155.3162,414.3448,429.003,,79.01,19.5433,44.1945,5.13,17.3141,250.22,13.5961,,20.9819,84.1571,31.39,,476.3935,11.07,380.1206,37.0655,32.4411,1.501,27.3974,8.35
2023-10,7.43,168.6365,85.6733,83.4106,10.68,98.5,133.09,36.44,49.29,584.8645,3.31,81.7263,186.82,77.7288,9.4367,10.4,12.8269,0.5498,688.6,9.2161,5.97,,29.6,77.12,10.4143,20.5817,31.0649,17.0,,14.22,,64.2331,14.92,,,20.0948,,0.0175,29.04,25.43,,25.179,13.77,124.2049,122.9894,5.98,9.14,61.9638,7.5,35.8996,9.64,3.08,405.2134,42.5716,34.7682,5.27,,52.127,1.444,39.21,543.4122,88.0608,2.99,8.81,298.6474,,39.5,16.4,46.8476,330.9941,56.0,42.339,,66.2515,,96.8395,5.05,6.66,40.7041,11.3637,89.6698,41.0576,10.32,1.9,100.5132,58.7729,25.6393,2.16,14.8,5.89,0.722,102.8389,28.042,345.7279,142.0761,0.727,2.68,1.06,16.22,4.23,5.28,10.7,19.08,86.0295,20.6597,,1.81,89.3365,20.98,23.947,3.38,,469.44,1.59,14.6487,145.0656,405.3499,455.4484,,74.6936,18.551,36.4926,4.44,15.9337,200.84,9.6236,16.8,17.7556,83.5857,25.37,,506.0341,9.81,371.8638,39.1281,31.9913,1.78,23.8638,7.8
