q,side,rank,ticker,net_M,buy_M,sell_M
2023Q1,매수,1,TMF,230,652,421
2023Q1,매수,2,TSLA,185,4286,4100
2023Q1,매수,3,SQQQ,181,2756,2575
2023Q1,매수,4,MSFT,178,556,378
2023Q1,매수,5,JEPI,148,231,84
2023Q1,매수,6,SOXS,119,2904,2786
2023Q1,매수,7,FRCB,102,361,260
2023Q1,매수,8,SCHD,91,147,57
2023Q1,매수,9,BOIL,85,574,489
2023Q1,매수,10,VOO,80,158,78
2023Q1,매도,1,NVDA,-363,757,1119
2023Q1,매도,2,TQQQ,-223,2513,2735
2023Q1,매도,3,SOXL,-212,2765,2976
2023Q1,매도,4,AAPL,-180,556,737
2023Q1,매도,5,META,-60,105,165
2023Q1,매도,6,SPY,-40,109,149
2023Q1,매도,7,FNGU,-28,202,230
2023Q1,매도,8,KOLD,-24,171,194
2023Q1,매도,9,AMD,-19,189,208
2023Q1,매도,10,BULZ,-11,33,44
2023Q2,매수,1,TMF,347,965,618
2023Q2,매수,2,SQQQ,213,1621,1409
2023Q2,매수,3,SOXS,126,1650,1524
2023Q2,매수,4,SCHD,100,166,66
2023Q2,매수,5,TLTW,94,135,41
2023Q2,매수,6,TLT,77,274,197
2023Q2,매수,7,O,65,97,33
2023Q2,매수,8,JEPI,57,196,139
2023Q2,매수,9,MU,54,143,89
2023Q2,매수,10,LCID,51,126,75
2023Q2,매도,1,NVDA,-878,1007,1885
2023Q2,매도,2,TQQQ,-536,1426,1962
2023Q2,매도,3,AAPL,-475,498,973
2023Q2,매도,4,TSLA,-369,3373,3743
2023Q2,매도,5,SOXL,-269,2389,2658
2023Q2,매도,6,GOOGL,-233,341,574
2023Q2,매도,7,MSFT,-210,524,734
2023Q2,매도,8,QQQ,-134,188,322
2023Q2,매도,9,META,-60,110,170
2023Q2,매도,10,SPY,-45,126,171
2023Q3,매수,1,TMF,378,1061,683
2023Q3,매수,2,NVDA,294,2019,1725
2023Q3,매수,3,TLT(JPYh),236,272,36
2023Q3,매수,4,SOXL,211,3217,3006
2023Q3,매수,5,AAPL,190,985,795
2023Q3,매수,6,IONQ,190,1104,914
2023Q3,매수,7,TLTW,146,359,213
2023Q3,매수,8,O,109,165,56
2023Q3,매수,9,TLT,106,349,243
2023Q3,매수,10,TSLY,95,162,66
2023Q3,매도,1,TSLA,-307,3505,3811
2023Q3,매도,2,GOOGL,-199,288,487
2023Q3,매도,3,AMZN,-114,328,443
2023Q3,매도,4,TQQQ,-100,1510,1610
2023Q3,매도,5,SOXS,-83,1735,1818
2023Q3,매도,6,META,-81,222,303
2023Q3,매도,7,QQQ,-65,225,289
2023Q3,매도,8,MSFT,-42,493,535
2023Q3,매도,9,JEPI,-39,42,81
2023Q3,매도,10,SQQQ,-27,1357,1383
2023Q4,매수,1,TMF,179,1081,902
2023Q4,매수,2,TLT(JPYh),145,269,124
2023Q4,매수,3,SOXS,142,1904,1761
2023Q4,매수,4,TLT,124,390,266
2023Q4,매수,5,SCHD,106,233,127
2023Q4,매수,6,O,88,181,93
2023Q4,매수,7,PFE,61,103,42
2023Q4,매수,8,TSLY,56,169,113
2023Q4,매수,9,TSLL,53,530,477
2023Q4,매수,10,BOIL,47,448,400
2023Q4,매도,1,AAPL,-599,470,1069
2023Q4,매도,2,SOXL,-559,2985,3544
2023Q4,매도,3,TQQQ,-436,1403,1839
2023Q4,매도,4,NVDA,-289,1346,1635
2023Q4,매도,5,TSLA,-169,3026,3195
